fips,TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart disease_prevalence,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
6067,1540975,199957,198773,220523,228253,192362,194261,162670,91664,52512,970616,167528,23734,260762,19726,98609,1540975,13257,22158,12.6,7.8,4.8,2.8,1.1,3.9,127852,225825,350480,308126,217138,69475,67976,70974,710442,683494,26948,69475,279.6,243.8,96.2,87.1,7.2,6.2,600.4641815,308.4128017,13.9851201,871.1678015,592.049736,2289.46934,396,1495400,279005,198,4,6,67,1177066,37.0,28.3,333110,5.8,68109,6.0,70125,10.5,123474,2.9,34526,1
19075,12304,1468,1615,1309,1416,1380,1664,1593,1096,763,12068,64,16,43,7,106,12304,-18,152,10.4,10.2,0.2,0.0,-1.6,-1.6,500,2660,3047,2417,819,65060,60458,69662,6544,6382,162,65060,218.2,193.1,84.8,77.9,6.9,6.5,7.492776156,3.325357992,0.460014353,4.982189348,8.424500142,15.93287,0,12354,3350,500,15,19,75,9486,42.6,35.8,3396,7.3,691,6.5,613,9.8,930,2.9,278,4
51570,17833,2427,2229,2293,2080,1949,2311,1915,1567,1062,13497,2943,126,714,34,519,17833,157,171,14.8,10.8,4.0,2.9,2.1,5.0,1117,3934,4323,2835,1756,56800,51562,62038,8779,8490,289,56800,263.2,231.8,90.3,81.7,7.3,6.3,9.375337783,4.400839665,0.200989823,8.893799665,7.807198435,24.60450416,0,17582,4585,1733,46,51,570,13534,48.1,35.1,4750,8.1,1092,8.5,1144,12.1,1639,3.3,450,2
56041,20299,3121,3205,2153,2702,2390,2434,2554,1233,507,19356,168,288,96,30,361,20299,-157,220,13.5,7.2,6.3,0.0,-14.0,-14.1,934,5176,4810,1995,2010,63401,56812,69990,8931,8541,390,63401,207.9,199.6,79.8,76.2,10.6,10.4,10.04871421,5.656793662,1.018925566,4.637868096,13.210897,19.11363821,6,20758,3554,1838,50,56,41,14455,42.2,34.2,4944,7.2,1034,8.0,1163,10.4,1500,3.0,430,5
48301,152,28,28,24,26,4,14,20,8,0,144,7,1,0,0,0,152,16,0,27.8,0.0,27.8,0.0,69.4,69.4,17,15,43,0,5,78637,69612,87662,102,98,4,78637,224.8,199.9,72.9,66.5,6.2,5.4,0.052428685,0.030943516,0.002769717,0.057512679,0.050903487,0.179517937,0,74,29,1591,43,48,301,100,47.4,38.2,38,7.2,7,7.5,8,11.4,11,2.7,3,6
27155,3308,378,379,335,318,320,477,466,325,310,2997,19,212,7,2,71,3308,1,100,10.6,10.3,0.3,0.3,-0.3,0.0,192,833,974,409,418,49773,44566,54980,1760,1703,57,49773,302.7,265.0,104.9,96.0,7.4,6.6,1.697867774,1.068241808,0.074871253,1.895362811,2.0669182,5.531629627,0,3357,1101,946,23,27,155,2615,46.0,33.1,866,8.9,231,7.0,182,11.7,307,3.5,93,6
48207,5813,529,706,813,765,597,732,771,550,350,5281,276,62,57,0,137,5813,30,524,7.2,10.7,-3.4,11.0,-2.6,8.5,1145,1421,1000,552,1220,40880,37845,43915,2356,2266,90,40880,224.8,199.9,72.9,66.5,6.2,5.4,2.005052288,1.183385911,0.105923469,2.199481601,1.946723495,6.865380048,0,5806,1740,647,43,48,207,4730,52.5,38.2,1807,10.5,498,10.3,487,15.6,738,4.0,191,6
26075,158823,18219,19714,20818,18670,19414,22559,20571,12072,6786,139170,12939,667,1495,83,4469,158823,133,8665,10.9,10.3,0.7,0.5,-0.3,0.2,10304,36202,39822,23483,20553,52047,49019,55075,74281,71351,2930,52047,287.0,249.7,97.8,87.6,7.9,6.7,70.22845432,60.10729473,2.287985842,117.8153821,95.69818561,322.590115,51,158989,36118,35,22,26,75,124756,45.4,36.1,45037,8.4,10495,9.5,11796,11.3,14148,3.2,4030,4
48129,3319,348,511,394,324,305,396,487,351,203,3016,195,29,26,2,51,3319,-32,226,9.9,12.9,-3.0,0.9,-7.5,-6.6,266,720,825,446,574,40945,37803,44087,1574,1521,53,40945,224.8,199.9,72.9,66.5,6.2,5.4,1.144807938,0.675667958,0.060478238,1.255819617,1.111504435,3.919868636,0,3433,1073,1546,43,48,129,2665,48.0,34.9,930,9.6,255,9.1,242,13.6,362,3.6,97,6
37029,10710,1201,1464,1075,1348,1489,1617,1298,844,374,8836,1282,59,235,10,288,10710,149,17,8.5,5.4,3.1,1.4,9.3,10.7,1042,2097,2818,1302,884,65955,58833,73077,4650,4477,173,65955,255.0,223.5,86.2,78.1,7.1,6.2,4.865265678,4.375335384,0.115520406,5.213889761,4.150483165,15.44982289,0,10336,2164,353,33,37,29,8265,46.2,34.4,2843,7.8,645,8.5,703,12.1,1003,3.1,259,5
30005,6807,1136,1073,829,814,686,847,709,449,264,3156,26,3409,19,1,196,6807,63,220,14.6,9.0,5.6,2.1,1.9,4.0,450,1069,1703,899,1393,39237,35053,43421,2291,2193,98,39237,247.1,236.2,91.5,88.0,9.8,9.4,3.229513181,2.505435821,0.358834798,2.204270901,3.761357614,7.381744414,0,6646,1338,456,26,30,5,4792,45.5,34.6,1658,9.4,449,9.5,456,15.0,719,4.1,195,6
47051,41890,4318,5559,5738,4363,4880,5611,5686,3844,1891,38296,2171,184,414,34,791,41890,306,2094,9.8,11.3,-1.5,1.1,7.8,8.9,3616,11350,7516,5876,6335,50201,45337,55065,19948,19276,672,50201,253.1,225.8,85.1,77.8,8.1,7.4,35.56622811,7.37559915,0.711572066,22.19486086,15.38233178,62.51315286,10,41397,10550,29,42,47,51,33483,45.2,31.7,10614,9.2,3080,10.5,3502,13.2,4427,3.4,1123,5
30023,9131,670,861,1105,990,1140,1399,1577,914,475,8433,41,359,43,8,247,9131,38,854,8.1,12.3,-4.2,-0.3,8.7,8.3,707,2621,2411,1208,1346,45641,41845,49437,5143,4960,183,45641,247.1,236.2,91.5,88.0,9.8,9.4,4.332111776,3.36082481,0.481345753,2.956838196,5.045534945,9.901969773,0,9131,2878,1035,26,30,23,7820,41.8,30.6,2393,9.4,736,9.4,732,13.1,1025,3.8,294,6
55081,46051,6398,6259,4804,5864,5299,6415,5775,3387,1850,43329,804,657,408,53,800,46051,434,814,12.5,9.4,3.0,0.2,6.3,6.5,2973,11445,10134,6112,5972,58391,54714,62068,23664,23020,644,58391,264.9,238.3,94.6,86.4,7.9,7.1,24.08866483,14.57518687,1.053532529,24.1757991,25.95016967,72.85217047,0,45303,10280,49,49,55,81,34358,42.9,35.0,12025,7.3,2523,7.2,2470,10.1,3461,3.1,1052,6
